Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C49234237,CPG151101D06,HanElectricity,Through Hole,,Brown Switch 12V 45gf Through Hole Pushbutton Switches RoHS,yes,70,5,5,0.0894,6.26,https://www.lcsc.com/product-detail/C49234237.html
2,C49234238,CPG151101D01,HanElectricity,Through Hole,,Black switch 12V 60gf Through Hole Pushbutton Switches RoHS,yes,5,5,5,0.1068,0.53,https://www.lcsc.com/product-detail/C49234238.html
3,C49234236,CPG151101D05,HanElectricity,Through Hole,,Red switch 12V 45gf Through Hole Pushbutton Switches RoHS,yes,5,5,5,0.1125,0.56,https://www.lcsc.com/product-detail/C49234236.html
4,C49234235,CPG151101D13,HanElectricity,Through Hole,,Blue Switch 12V 50gf Through Hole Pushbutton Switches RoHS,yes,5,5,5,0.1065,0.53,https://www.lcsc.com/product-detail/C49234235.html
5,C49234239,CPG151101D70,HanElectricity,Through Hole,,Salt mist resistant shaft 12V 45gf Through Hole Pushbutton Switches RoHS,yes,5,5,5,0.2471,1.24,https://www.lcsc.com/product-detail/C49234239.html
6,C49234240,CPG151101D80,HanElectricity,Through Hole,,Salt mist resistant shaft 12V 40gf Through Hole Pushbutton Switches RoHS,yes,5,5,5,0.2331,1.17,https://www.lcsc.com/product-detail/C49234240.html
7,C49352235,CPG151101S11-2,HanElectricity,-,,"5,000 cycles 2 12V 3000gf Pushbutton Switches RoHS",yes,100,10,10,0.0363,3.63,https://www.lcsc.com/product-detail/C49352235.html
8,C402212,1N4148,LGE,DO-35,,Diode 75V 150mA Through Hole DO-35,yes,100,50,50,0.0094,0.94,https://www.lcsc.com/product-detail/C402212.html
9,C42924268,ColorEasyPico2-RP2350,LCSC-boards,-,,"Embedded MCU, DSP Evaluation Boards RoHS",yes,2,1,1,6.0306,12.06,https://www.lcsc.com/product-detail/C42924268.html
10,C7509519,DS1023-1x20SF11,CONNFLY Elec,"Through Hole,P=2.54mm",,Female Header 2.54mm Pitch Single Row Through Hole,yes,5,5,5,0.1886,0.94,https://www.lcsc.com/product-detail/C7509519.html
11,C52976406,LJZ22204,XHHD,-,,"Board Spacers, Standoffs ",-,10,10,10,0.0359,0.36,https://www.lcsc.com/product-detail/C52976406.html
12,C52976278,LJZ22203,XHHD,-,,"Board Spacers, Standoffs ",-,10,10,10,0.0311,0.31,https://www.lcsc.com/product-detail/C52976278.html
13,C52976326,LJZ22200,XHHD,-,,"Board Spacers, Standoffs ",-,10,10,10,0.0268,0.27,https://www.lcsc.com/product-detail/C52976326.html
14,C52976402,LJZ22205,XHHD,-,,"Board Spacers, Standoffs ",-,10,5,5,0.0765,0.77,https://www.lcsc.com/product-detail/C52976402.html
15,C5222494,M2X5,Shuntian,-,,0.4mm Screws RoHS,yes,100,100,100,0.0039,0.39,https://www.lcsc.com/product-detail/C5222494.html
